2023-07-07 09:38:22 | ERROR | stderr | [32mINFO[0m:     Shutting down
2023-07-07 09:38:23 | ERROR | stderr | [32mINFO[0m:     Waiting for application shutdown.
2023-07-07 09:38:23 | ERROR | stderr | [32mINFO[0m:     Application shutdown complete.
2023-07-07 09:38:23 | ERROR | stderr | [32mINFO[0m:     Finished server process [[36m4284[0m]
2023-07-07 09:39:20 | ERROR | stderr | Exception ignored in: <module 'threading' from '/root/miniconda3/envs/chatglm/lib/python3.10/threading.py'>
2023-07-07 09:39:20 | ERROR | stderr | Traceback (most recent call last):
2023-07-07 09:39:20 | ERROR | stderr |   File "/root/miniconda3/envs/chatglm/lib/python3.10/threading.py", line 1567, in _shutdown
2023-07-07 09:39:20 | ERROR | stderr |     lock.acquire()
2023-07-07 09:39:20 | ERROR | stderr | KeyboardInterrupt:
2023-07-07 09:39:23 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue')
2023-07-07 09:39:23 | ERROR | stderr | INFO:     Started server process [4385]
2023-07-07 09:39:23 | ERROR | stderr | INFO:     Waiting for application startup.
2023-07-07 09:39:23 | ERROR | stderr | INFO:     Application startup complete.
2023-07-07 09:39:23 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2023-07-07 09:39:47 | ERROR | stderr | INFO:     Shutting down
